Nº do cliente;Safra;Estado;Renda Mensal;Endividamento;Quantidade de Cheques sem Fundo;Quantidade de Restritivos;Valor dos Restritivos;Quantidade de Protestos;Valor dos Protestos;Modelo Score 1;Modelo Score 2;Modelo Score 3;Modelo Score 4;Performance 30D3M EVER;Performance 60D6M EVER;Performance 60D9M EVER;Performance 90D9M EVER;Performance 90D12M EVER
785062390;2020-05-01 00:00:00 UTC;MG;3492;Até 25%;0;0;0;0;0;529;636;620;713;BOM;BOM;BOM;BOM;BOM
128995821;2020-08-01 00:00:00 UTC;MS;4277;Até 25%;0;0;0;0;0;504;625;563;678;BOM;BOM;BOM;BOM;
949840201;2020-10-01 00:00:00 UTC;RJ;2393;76 a 100%;0;1;1447;0;0;243;226;313;715;BOM;MAU;;;
772396542;2020-07-01 00:00:00 UTC;SC;4539;Até 25%;0;0;0;0;0;810;651;736;779;MAU;BOM;BOM;BOM;
962384262;2020-08-01 00:00:00 UTC;GO;4280;Até 25%;0;0;0;0;0;674;613;665;776;BOM;BOM;BOM;BOM;
795048924;2020-06-01 00:00:00 UTC;MG;1105;Até 25%;0;0;0;0;0;444;581;503;648;BOM;BOM;BOM;BOM;MAU
110727771;2020-08-01 00:00:00 UTC;RS;1148;Acima de 100%;0;2;18085;0;0;198;244;282;609;MAU;MAU;MAU;MAU;
1158826693;2020-08-01 00:00:00 UTC;BA;2518;Até 25%;0;0;0;0;0;714;673;665;796;BOM;BOM;BOM;BOM;
1138975412;2020-09-01 00:00:00 UTC;SP;3492;Acima de 100%;0;4;1245;0;0;2;228;274;550;BOM;MAU;MAU;MAU;
1007567239;2020-05-01 00:00:00 UTC;RJ;1338;51 a 75%;1;5;928;0;0;116;212;266;617;BOM;BOM;BOM;BOM;BOM
843154789;2020-05-01 00:00:00 UTC;RJ;2913;Até 25%;0;1;102;0;0;220;549;266;712;BOM;BOM;BOM;BOM;BOM
707605858;2020-08-01 00:00:00 UTC;GO;3175;Até 25%;0;0;0;0;0;465;614;404;765;BOM;BOM;BOM;BOM;
630271113;2020-08-01 00:00:00 UTC;RJ;4404;Até 25%;0;0;0;0;0;658;605;720;668;MAU;BOM;BOM;BOM;
874454048;2020-08-01 00:00:00 UTC;BA;1359;Até 25%;0;1;158;0;0;61;250;203;536;BOM;BOM;BOM;BOM;
132893005;2020-07-01 00:00:00 UTC;SC;1090;76 a 100%;0;4;1297;0;0;78;216;243;499;BOM;BOM;BOM;BOM;
860448543;2020-09-01 00:00:00 UTC;SC;3365;Até 25%;0;0;0;0;0;483;644;498;719;MAU;BOM;MAU;MAU;
145558853;2020-06-01 00:00:00 UTC;RJ;4548;Até 25%;0;0;0;0;0;832;671;756;905;BOM;BOM;BOM;BOM;BOM
1214361565;2020-08-01 00:00:00 UTC;MS;3374;Até 25%;0;0;0;0;0;804;674;797;813;BOM;BOM;BOM;BOM;
130091904;2020-05-01 00:00:00 UTC;TO;3365;Até 25%;0;0;0;0;0;621;648;622;695;BOM;BOM;BOM;BOM;BOM
